franchise,Id_franchise
Toy Story Collection,1
Sin Dato,2
Grumpy Old Men Collection,3
Father of the Bride Collection,4
James Bond Collection,5
Balto Collection,6
Ace Ventura Collection,7
Chili Palmer Collection,8
Babe Collection,9
Mortal Kombat Collection,10
Pocahontas Collection,11
The Lawnmower Man Collection,12
Friday Collection,13
From Dusk Till Dawn Collection,14
Screamers Collection,15
The Muppet Collection,16
The Neverending Story Collection,17
Bad Boys Collection,18
Batman Collection,19
Brooklyn Cigar Store Collection,20
Casper Collection,21
Mexico Trilogy,22
Die Hard Collection,23
Teenage Apocalypse Trilogy,24
Free Willy Collection,25
Power Rangers Collection,26
Síť (kolekce),27
The Prophecy Collection,28
Showgirls Collection,29
Species Collection,30
Under Siege Collection,31
Burnt by the Sun Trilogy,32
Before... Collection,33
Clerks Collection,34
Dumb and Dumber Collection,35
A Goofy Movie Collection,36
The Vampire Chronicles,37
Star Wars Collection,38
Nemesis Collection,39
Once were Warriors Collection,40
Poison Ivy Collection,41
Three Colors Collection,42
Swan Princess Series,43
The Santa Clause Collection,44
Tales from the Crypt Collection,45
Star Trek: The Next Generation Collection,46
The Jack Ryan Collection,47
The Crow Collection,48
The Flintstones (Live-Action) Collection,49
The Lion King Collection,50
A Nightmare on Elm Street Collection,51
The Mask Collection,52
Naked Gun Collection,53
Richie Rich Collection,54
Speed Collection,55
Timecop Collection,56
Street Fighter,57
Fear Collection,58
Highlander Collection,59
Addams Family Collection,60
Stakeout Collection,61
Beverly Hills Cop Collection,62
City Slickers Collection,63
The Endless Summer Collection,64
The Fugitive / U.S. Marshals Collection,65
Hard Target Collection,66
Hot Shots! Collection,67
House Party Collection,68
Jurassic Park Collection,69
The Karate Kid Collection,70
RoboCop Collection,71
The Secret Garden Collection,72
The Shadow Collection,73
Blade Runner Collection,74
The Brady Bunch Collection,75
Home Alone Collection,76
Aladdin Collection,77
The Terminator Collection,78
The Hannibal Lecter Anthology,79
Beauty and the Beast Collection,80
Candyman Collection,81
Homeward Bound Collection,82
Heavy Metal Collection,83
Hellraiser Collection,84
All Dogs Go to Heaven Collection,85
Mission: Impossible Collection,86
DragonHeart Collection,87
Bloodsport Collection,88
The Apu Collection,89
Lemmy Caution Collection,90
The Substitute Collection,91
The Visitors Collection,92
Ghost in the Shell Collection,93
Wallace & Gromit Collection,94
The Arrival Collection,95
"Martin Scorsese’s World Cinema Project, Vol. 1",96
Trainspotting Collection,97
Independence Day Collection,98
The Hunchback of Notre Dame Collection,99
The Nutty Professor Collection,100
Escape From ... Collection,101
The Godfather Collection,102
Police Story Collection,103
The Land Before Time Collection,104
Halloween Collection,105
The Space Odyssey Series,106
The Thin Man Collection,107
Living Dead Collection,108
In the Line of Duty Collection,109
The Mighty Ducks Collection,110
The Apple Dumpling Gang Collection,111
Davy Crockett Collection,112
Witch Mountain Collection,113
Herbie Collection,114
Parent Trap Collection,115
The Shaggy Dog Collection,116
Cinderella Collection,117
Caballeros Collection,118
The Fox and the Hound Collection,119
Freeway Collection,120
Dirty Dancing Collection,121
Weekend at Bernie's Collection,122
Basic Instinct Collection,123
Children of the Corn Collection,124
The Pink Panther (Original) Collection,125
The Howling Collection,126
The Water of the Hills Collection,127
Best of the Best Collection,128
Cheech & Chong Collection,129
Indiana Jones Collection,130
Alien Collection,131
The Man With No Name Collection,132
Evil Dead Collection,133
Psycho Collection,134
The Blues Brothers Collection,135
The Sting Collection,136
The Jake Gittes Collection,137
Back to the Future Collection,138
Fantasia Collection,139
Qatsi Collection,140
The Amityville Horror Collection,141
The Blob Collection,142
Frankenstein (Universal Series),143
Carrie Collection,144
The Omen Collection,145
Heart of Gold Collection,146
Jingle All the Way Collection,147
Paradise Lost Collection,148
101 Dalmatians (Live-Action) Collection,149
Star Trek: The Original Series Collection,150
Young Guns Collection,151
Grease Collection,152
The Jaws Collection,153
Scream Collection,154
Turbulence Collection,155
McHale's Navy Collection,156
National Lampoon's Vacation Collection,157
The Saint Collection,158
Barrytown Trilogy,159
Anaconda Collection,160
Austin Powers Collection,161
Warriors of Virtue Collection,162
Shiloh Collection,163
Tetsuo Collection,164
Men In Black Collection,165
Conan the Barbarian Collection,166
George of the Jungle Collection,167
Air Bud Collection,168
Mimic Collection,169
Alex Cross Collection,170
Wishmaster Collection,171
I Know What You Did Last Summer Collection,172
Mr. Bean Collection,173
Starship Troopers Collection,174
Les Boys,175
The Postman Collection,176
3 Ninjas Collection,177
Wild Things Collection,178
Barney Collection,179
The Odd Couple Collection,180
Major League Collection,181
Henry Fool Collection,182
Mulan Collection,183
The X-Files Collection,184
Dr. Dolittle Collection,185
Lethal Weapon Collection,186
French Connection Collection,187
Rocky Collection,188
Friday the 13th Collection,189
Prom Night Collection,190
Child's Play Collection,191
Poltergeist Collection,192
The Exorcist Collection,193
The Gremlins Collection,194
Zorro Collection,195
The Poseidon Adventure Collection,196
Flubber Collection,197
Bambi Collection,198
Dexter Riley Collection,199
"Honey, I Shrunk the Kids Collection",200
The Jungle Book Collection,201
Lady and the Tramp Collection,202
The Little Mermaid Collection,203
101 Dalmatians (Animated) Collection,204
Peter Pan Collection,205
The Rescuers Collection,206
Splash Collection,207
TRON Collection,208
The Lord of the Rings Animated Collection,209
Charlotte's Web Collection,210
The Secret Of NIMH Collection,211
Fievel Collection,212
House Collection,213
The Gods Must Be Crazy Collection,214
Henry: Portrait of a Serial Killer Collection,215
Rosemary's Baby Collection,216
Killer Tomatoes! Collection,217
Blade Collection,218
Cube Collection,219
Rush Hour Collection,220
Urban Legend,221
The Thing Collection,222
Vampires Collection,223
Elizabeth Collection,224
Stepford Collection,225
Rugrats Collection,226
Godzilla (Showa) Collection,227
Godzilla (Heisei) Collection,228
King Kong (1933 series),229
King Kong (1976 series),230
Fletch Collection,231
Police Academy Collection,232
Rambo Collection,233
Romancing the Stone Collection,234
Cocoon Collection,235
The Gate Collection,236
The Fly (1958 series),237
The Fly Collection,238
Texas Chainsaw Massacre Collection,239
Crocodile Dundee Collection,240
The Hustler Collection,241
8MM Collection,242
Pet Sematary Collection,243
Airport Collection,244
Alligator Collection,245
Westworld Collection,246
Planet of the Apes Original Collection,247
Analyze Collection,248
Cruel Intentions Collection,249
The Matrix Collection,250
The Mummy Collection,251
The Black Mask Collection,252
The Mummy (Universal Series),253
The Mummy (Hammer Series),254
Superman Collection,255
Dracula (Universal Series),256
The Wolf Man (Universal Series),257
Frankenstein (Hammer Series),258
Rocky Horror Collection,259
Swamp Thing Collection,260
Tarzan (Animation) Collection,261
American Pie Collection,262
Tales of the Four Seasons,263
Blair Witch Collection,264
Lake Placid Collection,265
Ghostbusters Collection,266
Inspector Gadget Collection,267
The Adventures of Antoine Doinel,268
Allan Quatermain Collection,269
Airplane Collection,270
Problem Child Collection,271
A Christmas Story Collection,272
Universal Soldier Collection,273
Iron Eagle Collection,274
The Spiders Serial,275
Stir of Echoes Collection,276
Fright Night Collection,277
Armour of God Collection,278
Phantasm Collection,279
Drunken Master Collection,280
The Dirty Dozen Collection,281
The Blue Lagoon collection,282
Penitenciaría - Colección,283
Omega Code Series,284
Bats Collection,285
The Best Man Collection,286
Harry Palmer Collection,287
On Any Sunday Collection,288
House on Haunted Hill Collection,289
Re-Animator Collection,290
Creepshow Collection,291
Piranha Collection,292
Mister Roberts Collection,293
Meatballs Collection,294
Pokémon Collection,295
The Up Series,296
Deuce Bigalow Collection,297
The Last Picture Show Collection,298
The Sinbad Collection,299
Stuart Little Collection,300
Batman (DC Universe Animated) Collection,301
Sister Act Collection,302
Wayne's World Collection,303
The Cutting Edge Collection,304
Single White Female Collection,305
The Boondock Saints Collection,306
"To Sir, with Love Collection",307
The Chronicles of Riddick Collection,308
The Whole Nine/Ten Yards Collection,309
Cross of Iron Collection,310
American Graffiti Collection,311
Final Destination Collection,312
Death Wish Collection,313
Teenage Mutant Ninja Turtles (Original) Collection,314
The Skulls Collection,315
Navarone Collection,316
Beach Party Collection,317
Arthur Collection,318
Bachelor Party Collection,319
Predator Collection,320
American Psycho Collection,321
East is East Collection,322
Caddyshack Collection,323
Carnosaur Collection,324
Hidden Collection,325
The Three Mothers Collection,326
Die Nibelungen Filmreihe,327
Center Stage Collection,328
Pee-wee's Collection,329
Road Trip Collection,330
Shanghai Noon Collection,331
Big Momma's House Collection,332
Quatermass (Hammer series),333
Puppet Master Collection,334
The Benji Collection,335
The Decline of Western Civilization Collection,336
Dirty Harry Collection,337
Porky's Collection,338
Nuke 'Em High Collection,339
The Toxic Avenger Collection,340
Alien Nation Collection,341
Mad Max Collection,342
9½ Weeks Collection,343
Firestarter Collection,344
Shaft Collection,345
F/X Collection,346
Missing in Action Collection,347
