production_compani,Id_production_compani
Pixar Animation Studios,1
TriStar Pictures,2
Warner Bros.,3
Twentieth Century Fox Film Corporation,4
Sandollar Productions,5
Regency Enterprises,6
Paramount Pictures,7
Walt Disney Pictures,8
Universal Pictures,9
United Artists,10
Columbia Pictures,11
Hollywood Pictures,12
Le Studio Canal+,13
Columbia Pictures Corporation,14
Miramax Films,15
O Entertainment,16
Jersey Films,17
Silver Pictures,18
Caravan Pictures,19
New Line Cinema,20
BBC Films,21
Procirep,22
Ministère des Affaires Étrangères,23
Iwerks Entertainment,24
StudioCanal,25
Havoc,26
Sony New Technologies,27
Dualstar Productions,28
Miramax,29
British Screen,30
The Rank Organisation,31
Alliance Communications Corporation,32
Blue Parrot Productions,33
Sin Dato,34
Telefilm Canada,35
Metro-Goldwyn-Mayer (MGM),36
Renn Productions,37
A Band Apart,38
Castleberg Productions,39
Les Films 13,40
The Movie Network (TMN),41
Zweites Deutsches Fernsehen (ZDF),42
I.R.I.B. Channel 2,43
Bergen Film,44
BET Pictures,45
Playhouse International Pictures,46
Castle Rock Entertainment,47
Egg Pictures,48
Channel Four Films,49
British Broadcasting Corporation (BBC),50
Gracie Films,51
Touchstone Pictures,52
Amblin Entertainment,53
Icon Entertainment International,54
Téléfilm Canada,55
France 2 Cinéma,56
Bavaria Film and Television Fund,57
Savoy Pictures,58
Jet Tone Production,59
Cecchi Gori Group Tiger Cinematografica,60
Studio Babelsberg,61
Canal Horizons,62
Fine Line Features,63
Cigua Films,64
Couch Potatoe Productions,65
Cinergi Pictures Entertainment,66
Fox Searchlight Pictures,67
Imagine Entertainment,68
October Films,69
Paris Films Productions,70
PolyGram Filmed Entertainment,71
Superior Pictures,72
Why Not Productions,73
The Booking Office,74
JDI productions,75
The Ontario Film Development Corporation,76
Comet Film Produktion GmbH,77
Kino Link Company,78
Party Productions,79
Dimension Films,80
Killer Films,81
Spring Creek Productions,82
Malpaso Productions,83
Lightstorm Entertainment,84
Beta Film,85
Société Française de Production (SFP),86
HBO,87
Canal+,88
PolyGram Audiovisuel,89
Detour Film Production,90
Jack Giarraputo Productions,91
Spelling Films International,92
Full Moon Entertainment,93
Keystone Pictures,94
Ang Lee Productions,95
Metro-Goldwyn-Mayer,96
Italian International Film,97
WingNut Films,98
Geffen Pictures,99
Merchant Ivory Productions,100
Fountainbridge Films,101
Lucasfilm,102
MK2 Productions,103
Aviacsa,104
Bedford Falls Productions,105
American Zoetrope,106
Wolper Organization,107
40 Acres & A Mule Filmworks,108
TOEI,109
Metrodome Films,110
Filmwerks,111
Triumph Films,112
Avalon Studios,113
Kopelson Entertainment,114
"Samuel Goldwyn Company, The",115
Polygram Filmed Entertainment,116
Wildwood Enterprises,117
Cecile Company,118
Zespół Filmowy TOR,119
France 3 Cinéma,120
Allegro Films,121
Rich Animation Studios,122
Jones Entertainment Group,123
Jerry Weintraub Productions,124
Centropolis Entertainment,125
Kino Korsakoff,126
Cineville,127
Samuel Goldwyn Company,128
Shanghai Film Studios,129
Trilogy Entertainment Group,130
Sony Pictures Classics,131
Populist Pictures,132
Ciby 2000,133
Gramercy Pictures,134
Propaganda Films,135
Davis Entertainment,136
Tig Productions,137
Strand Releasing,138
Eve Productions Inc.,139
Bolex Brothers,140
Live Entertainment,141
A-Pix Entertainment,142
Overseas FilmGroup,143
Skyline Entertainment Partners,144
Home Box Office (HBO),145
Trans-Film,146
HBO Independent Productions,147
Orion Pictures Corporation,148
Mainline Pictures,149
HBO Films,150
Donner/Shuler-Donner Productions,151
Beijing Film Studio,152
Orion Pictures,153
Universal Studios,154
Canal Plus,155
Spelling Entertainment,156
Det Danske Filminstitut,157
Argos Films,158
The Samuel Goldwyn Company,159
Renaissance Films,160
Thin Man Films,161
Mikado Film,162
New South Wales Film & Television Office,163
Gaumont,164
Working Title Films,165
The Australian Film Commission,166
Ruby in Paradise,167
David V. Picker Productions,168
Société Nouvelle de Cinématographie,169
Mirage Enterprises,170
Shadowlands Productions,171
Shaw Brothers,172
Columbia Pictures Industries,173
Rhombus Media,174
Tim Burton Productions,175
Davis-Films,176
Republic Pictures (II),177
CNCAIMC,178
CiBy 2000,179
Channel 4 Television,180
SVT Drama,181
Sacher Film,182
Oscar Kramer S.A.,183
Shapiro-Glickenhaus Entertainment,184
Walt Disney Productions,185
RKO Radio Pictures,186
Sodaperaga Productions,187
Warner Brothers/Seven Arts,188
Trimark Pictures,189
Long Shong Pictures,190
BBC,191
Canadian Film Development Corporation (CFDC),192
El Deseo,193
TF1 Films Productions,194
Cinétéléfilms,195
Road Movies Filmproduktion GmbH,196
Granada Film Productions,197
Marvin Worth Productions,198
Roxy Film,199
Westdeutscher Rundfunk (WDR),200
Senator Film Produktion,201
Icicle,202
Constantin Film,203
