Id_movie_viejo,title,Id_movie
862,Toy Story,1
8844,Jumanji,2
15602,Grumpier Old Men,3
31357,Waiting to Exhale,4
11862,Father of the Bride Part II,5
949,Heat,6
11860,Sabrina,7
45325,Tom and Huck,8
9091,Sudden Death,9
710,GoldenEye,10
9087,The American President,11
12110,Dracula: Dead and Loving It,12
21032,Balto,13
10858,Nixon,14
1408,Cutthroat Island,15
524,Casino,16
4584,Sense and Sensibility,17
5,Four Rooms,18
9273,Ace Ventura: When Nature Calls,19
11517,Money Train,20
8012,Get Shorty,21
1710,Copycat,22
9691,Assassins,23
12665,Powder,24
451,Leaving Las Vegas,25
16420,Othello,26
9263,Now and Then,27
17015,Persuasion,28
902,The City of Lost Children,29
37557,Shanghai Triad,30
9909,Dangerous Minds,31
63,Twelve Monkeys,32
78802,Wings of Courage,33
9598,Babe,34
47018,Carrington,35
687,Dead Man Walking,36
139405,Across the Sea of Time,37
33689,It Takes Two,38
9603,Clueless,39
34615,"Cry, the Beloved Country",40
31174,Richard III,41
11443,Dead Presidents,42
35196,Restoration,43
9312,Mortal Kombat,44
577,To Die For,45
11861,How To Make An American Quilt,46
807,Se7en,47
10530,Pocahontas,48
8391,When Night Is Falling,49
629,The Usual Suspects,50
117164,Guardian Angel,51
11448,Mighty Aphrodite,52
49133,Lamerica,53
26441,The Big Green,54
97406,Georgia,55
124057,Kids of the Round Table,56
9089,Home for the Holidays,57
11010,The Postman,58
99040,The Confessional,59
11359,The Indian in the Cupboard,60
17182,Eye for an Eye,61
2054,Mr. Holland's Opus,62
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,63
19760,Two If by Sea,64
9536,Bio-Dome,65
11525,Lawnmower Man 2: Beyond Cyberspace,66
40628,Two Bits,67
4482,French Twist,68
10634,Friday,69
755,From Dusk Till Dawn,70
11859,Fair Game,71
28387,Kicking and Screaming,72
48750,Les Miserables,73
20927,Bed of Roses,74
36929,Big Bully,75
9102,Screamers,76
124626,Nico Icon,77
27526,The Crossing Guard,78
9623,The Juror,79
46785,The White Balloon,80
400,Things to Do in Denver When You're Dead,81
880,Antonia's Line,82
146599,Once Upon a Time... When We Were Colored,83
188588,Last Summer in the Hamptons,84
8447,Angels and Insects,85
10534,White Squall,86
17414,Dunston Checks In,87
13997,Black Sheep,88
2086,Nick of Time,89
61548,The Journey of August King,90
9095,Mary Reilly,91
12158,Vampire in Brooklyn,92
9283,Beautiful Girls,93
9208,Broken Arrow,94
40154,A Midwinter's Tale,95
406,La Haine,96
45549,Shopping,97
63076,Heidi Fleiss: Hollywood Madam,98
11062,City Hall,99
13685,Bottle Rocket,100
47475,Mr. Wrong,101
2045,Unforgettable,102
9614,Happy Gilmore,103
688,The Bridges of Madison County,104
11907,Nobody Loves Me,105
10874,Muppet Treasure Island,106
89333,Catwalk,107
96357,Headless Body in Topless Bar,108
197,Braveheart,109
103,Taxi Driver,110
33542,Rumble in the Bronx,111
43566,Before and After,112
71754,Margaret's Museum,113
43612,Happiness Is in the Field,114
51352,Anne Frank Remembered,115
16934,The Young Poisoner's Handbook,116
10324,If Lucy Fell,117
78406,Steal Big Steal Little,118
55731,Race the Sun,119
32119,The Boys of St. Vincent,120
11066,Boomerang,121
11104,Chungking Express,122
37975,The Star Maker,123
2074,Flirting with Disaster,124
27793,The Neverending Story III: Escape from Fantasia,125
44284,The Silences of the Palace,126
290157,Jupiter's Wife,127
110972,Pie in the Sky,128
32622,Angela,129
73067,Frankie Starlight,130
11863,Jade,131
55475,Nueba Yol,132
124636,Sonic Outlaws,133
9101,Down Periscope,134
123360,From the Journals of Jean Seberg,135
5757,Man of the Year,136
39428,The Neon Bible,137
124639,Target,138
9302,Up Close & Personal,139
11000,The Birdcage,140
249882,Virgin Mary,141
16388,The Brothers McMullen,142
9737,Bad Boys,143
30765,The Amazing Panda Adventure,144
10474,The Basketball Diaries,145
22279,An Awfully Big Adventure,146
30157,Amateur,147
568,Apollo 13,148
11780,Rob Roy,149
34996,The Addiction,150
414,Batman Forever,151
649,Belle de Jour,152
1873,Beyond Rangoon,153
5894,Blue in the Face,154
1775,Canadian Bacon,155
8839,Casper,156
20649,Clockers,157
10329,Congo,158
8963,Crimson Tide,159
26564,Crumb,160
8068,Desperado,161
8512,Devil in a Blue Dress,162
1572,Die Hard: With a Vengeance,163
13552,The Doom Generation,164
259209,Feast of July,165
6520,First Knight,166
9073,Free Willy 2 - The Adventure Home,167
10428,Hackers,168
17447,Jeffrey,169
9886,Johnny Mnemonic,170
9482,Judge Dredd,171
19326,Jury Duty,172
9344,Kids,173
9071,Living in Oblivion,174
8973,Lord of Illusions,175
15730,Love & Human Remains,176
47608,Mad Love,177
2293,Mallrats,178
9070,Mighty Morphin Power Rangers: The Movie,179
68274,Moonlight and Valentino,180
48787,Mute Witness,181
34574,Nadja,182
1642,The Net,183
11472,Nine Months,184
36196,Party Girl,185
11980,The Prophecy,186
58372,Reckless,187
32646,Safe,188
10533,The Scarlet Letter,189
56088,The Show,190
10802,Showgirls,191
10149,Smoke,192
18402,Something to Talk About,193
9348,Species,194
139408,The Stars Fell on Henrietta,195
281,Strange Days,196
5967,The Umbrellas of Cherbourg,197
79593,The Tie That Binds,198
47939,Three Wishes,199
36834,Total Eclipse,200
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",201
3512,Under Siege 2: Dark Territory,202
52856,Unstrung Heroes,203
77350,Unzipped,204
9560,A Walk in the Clouds,205
9804,Waterworld,206
31611,White Man's Burden,207
65796,Wild Bill,208
49805,The Browning Version,209
26258,Bushwhacked,210
50797,Burnt by the Sun,211
19155,Before the Rain,212
76,Before Sunrise,213
11017,Billy Madison,214
37141,The Babysitter,215
9382,Boys on the Side,216
6715,The Cure,217
18256,Castle Freak,218
22625,Circle of Friends,219
2292,Clerks,220
1909,Don Juan DeMarco,221
8984,Disclosure,222
61813,Dream Man,223
4954,Drop Zone,224
62488,Destiny Turns on the Radio,225
10531,Death and the Maiden,226
11929,Dolores Claiborne,227
8467,Dumb and Dumber,228
10451,Eat Drink Man Woman,229
20156,Exotica,230
18395,Exit to Eden,231
522,Ed Wood,232
397,French Kiss,233
10525,Forget Paris,234
27985,Far from Home: The Adventures of Yellow Dog,235
15789,A Goofy Movie,236
27303,Hideaway,237
21183,Fluke,238
10954,Farinelli,239
47867,Gordy,240
43475,Gumby: The Movie,241
72031,The Glass Shield,242
14275,Hoop Dreams,243
1024,Heavenly Creatures,244
17207,Houseguest,245
13701,Immortal Beloved,246
14819,Heavyweights,247
32631,The Hunted,248
11777,I.Q.,249
628,Interview with the Vampire,250
87729,Jefferson in Paris,251
18713,The Jerky Boys,252
6280,Junior,253
9061,Just Cause,254
37108,A Kid in King Arthur's Court,255
6071,Kiss of Death,256
11,Star Wars,257
9587,Little Women,258
19101,A Little Princess,259
49980,Ladybird Ladybird,260
17961,L'Enfer,261
18183,Like Water for Chocolate,262
4476,Legends of the Fall,263
11008,Major Payne,264
47504,Little Odessa,265
32325,Mi Vida Loca,266
43742,Love Affair,267
28313,Losing Isaiah,268
11318,The Madness of King George,269
3036,Mary Shelley's Frankenstein,270
40490,Man of the House,271
24070,Mixed Nuts,272
8986,Milk Money,273
10510,Miracle on 34th Street,274
17402,Miami Rhapsody,275
38722,My Family,276
8438,Murder in the First,277
11593,Nobody's Fool,278
1945,Nell,279
39310,New Jersey Drive,280
109560,New York Cop,281
56428,Beyond Bedlam,282
63105,Nemesis 2 - Nebula,283
131957,Nina Takes a Lover,284
241,Natural Born Killers,285
9058,Only You,286
527,Once Were Warriors,287
18220,Poison Ivy II: Lily,288
6950,Outbreak,289
101,Leon: The Professional,290
63020,The Perez Family,291
2307,A Pyromaniac's Love Story,292
680,Pulp Fiction,293
41478,Panther,294
25296,Pushing Hands,295
40156,Priest,296
11450,Quiz Show,297
30304,Picture Bride,298
10452,Queen Margot,299
12106,The Quick and the Dead,300
161495,Roommates,301
3586,Prêt-à-Porter,302
110,Three Colors: Red,303
108,Three Colors: Blue,304
109,Three Colors: White,305
159185,"Red Firecracker, Green Firecracker",306
36357,Rent-a-Kid,307
92769,Relative Fear,308
28033,Stuart Saves His Family,309
22586,The Swan Princess,310
14334,The Secret of Roan Inish,311
2636,The Specialist,312
2164,Stargate,313
11395,The Santa Clause,314
278,The Shawshank Redemption,315
9905,Shallow Grave,316
87078,Suture,317
12527,Strawberry and Chocolate,318
20306,Swimming with Sharks,319
36614,The Sum of Us,320
27993,Senior Trip,321
31439,To Live,322
9067,Tank Girl,323
9059,Tales from the Crypt: Demon Knight,324
193,Star Trek: Generations,325
25066,Tales from the Hood,326
46797,Tom & Viv,327
12122,Village of the Damned,328
11381,Tommy Boy,329
32636,Vanya on 42nd Street,330
36141,The Underneath,331
95963,The Walking Dead,332
1587,What's Eating Gilbert Grape,333
9271,Virtuosity,334
2064,While You Were Sleeping,335
19855,The War,336
60855,Double Happiness,337
236,Muriel's Wedding,338
48287,The Baby-Sitters Club,339
3049,Ace Ventura: Pet Detective,340
2759,"The Adventures of Priscilla, Queen of the Desert",341
12635,Backbeat,342
10497,Bitter Moon,343
11382,Bullets Over Broadway,344
9331,Clear and Present Danger,345
10731,The Client,346
10464,"Corrina, Corrina",347
34152,Crooklyn,348
9495,The Crow,349
29973,Cobb,350
888,The Flintstones,351
13,Forrest Gump,352
712,Four Weddings and a Funeral,353
16295,Higher Learning,354
48992,I Like It Like That,355
10879,I Love Trouble,356
10660,It Could Happen to You,357
10714,The Jungle Book,358
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",359
8587,The Lion King,360
1689,Little Buddha,361
11596,New Nightmare,362
854,The Mask,363
9359,Maverick,364
23333,Mrs. Parker and the Vicious Circle,365
36593,The Naked Gun 33⅓: The Final Insult,366
12280,The Paper,367
2788,Reality Bites,368
10427,Red Rock West,369
11011,Ri¢hie Ri¢h,370
49803,Safe Passage,371
8987,The River Wild,372
1637,Speed,373
15128,Speechless,374
8831,Timecop,375
36955,True Lies,376
10449,When a Man Loves a Woman,377
10395,Wolf,378
12160,Wyatt Earp,379
40480,Bad Company,380
52038,A Man of No Importance,381
29444,S.F.W.,382
26352,A Low Down Dirty Shame,383
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",384
41580,Colonel Chabert,385
315,"Faster, Pussycat! Kill! Kill!",386
22067,Jason's Lyric,387
18242,The Secret Adventures of Tom Thumb,388
11667,Street Fighter,389
32502,Coldblooded,390
267188,Desert Winds,391
28732,Fall Time,392
75555,The Fear,393
42981,Frank and Ollie,394
278939,Girl in the Cadillac,395
291731,Homage,396
226229,Mirage,397
203119,Open Season,398
172923,Dos Crímenes,399
316098,Brother Minister: The Assassination of Malcolm X,400
8011,Highlander: The Final Dimension,401
171857,Federal Hill,402
2654,In the Mouth of Madness,403
18069,8 Seconds,404
19092,Above the Rim,405
2758,Addams Family Values,406
38129,Martin Lawrence: You So Crazy,407
10436,The Age of Innocence,408
13595,Airheads,409
46094,The Air Up There,410
9409,Another Stakeout,411
11853,Bad Girls,412
16771,Barcelona,413
46924,Being Human,414
11041,The Beverly Hillbillies,415
306,Beverly Hills Cop III,416
14522,Black Beauty,417
26203,Blink,418
178,Blown Away,419
19819,Blue Chips,420
57834,Blue Sky,421
4722,Body Snatchers,422
18215,Boxing Helena,423
1607,A Bronx Tale,424
26391,Cabin Boy,425
117553,Calendar Girl,426
6075,Carlito's Way,427
11310,City Slickers II: The Legend of Curly's Gold,428
18658,Clean Slate,429
9350,Cliffhanger,430
9612,Coneheads,431
2124,Color of Night,432
26261,Cops & Robbersons,433
19176,The Cowboy Way,434
49299,Dangerous Game,435
11566,Dave,436
9571,Dazed and Confused,437
9739,Demolition Man,438
24257,The Endless Summer 2,439
34444,Even Cowgirls Get the Blues,440
26141,Fatal Instinct,441
10997,Farewell My Concubine,442
50463,The Favor,443
10443,Fearless,444
20239,Fear of a Black Hat,445
16297,With Honors,446
18551,Flesh and Bone,447
25440,Widows' Peak,448
9024,For Love or Money,449
37233,The Firm,450
1634,Free Willy,451
13815,Fresh,452
5503,The Fugitive,453
35588,Geronimo: An American Legend,454
2087,The Getaway,455
41579,Getting Even with Dad,456
18620,Go Fish,457
41006,A Good Man in Africa,458
4916,Guilty as Sin,459
2019,Hard Target,460
31642,Heaven & Earth,461
9255,Hot Shots! Part Deux,462
26271,Live Nude Girls,463
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,464
2259,The House of the Spirits,465
16097,House Party 3,466
11934,The Hudsucker Proxy,467
106143,I'll Do Anything,468
12475,In the Army Now,469
9386,In the Line of Fire,470
7984,In the Name of the Father,471
59930,The Inkwell,472
15765,What's Love Got to Do with It,473
31643,Jimmy Hollywood,474
6,Judgment Night,475
329,Jurassic Park,476
10909,Kalifornia,477
507,Killing Zoe,478
34024,King of the Hill,479
29918,Lassie,480
9593,Last Action Hero,481
42580,Life With Mikey,482
22317,Lightning Jack,483
1413,M. Butterfly,484
12121,Made in America,485
2246,Malice,486
10502,The Man without a Face,487
10440,Manhattan Murder Mystery,488
9516,Menace II Society,489
2320,Executive Decision,490
5879,In the Realm of the Senses,491
83718,What Happened Was...,492
11971,Much Ado About Nothing,493
2625,Mr. Jones,494
31911,Mr. Wonderful,495
788,Mrs. Doubtfire,496
21450,Naked,497
11231,The Next Karate Kid,498
41588,The New Age,499
10447,No Escape,500
31586,North,501
9300,Orlando,502
9559,A Perfect World,503
9800,Philadelphia,504
713,The Piano,505
8291,Poetic Justice,506
18133,The Program,507
25557,The Puppet Masters,508
22588,Radioland Murders,509
10872,The Ref,510
1245,The Remains of the Day,511
11858,Renaissance Man,512
7007,Rising Sun,513
10467,The Road to Wellville,514
5550,RoboCop 3,515
8005,Robin Hood: Men in Tights,516
2088,Romeo Is Bleeding,517
10412,Romper Stomper,518
47889,Ruby in Paradise,519
14534,Rudy,520
56583,The Saint of Fort Washington,521
41878,Savage Nights,522
424,Schindler's List,523
35233,The Scout,524
14291,Searching for Bobby Fischer,525
103413,Second Best,526
11236,The Secret Garden,527
11592,Serial Mom,528
8850,The Shadow,529
10445,Shadowlands,530
695,Short Cuts,531
43535,A Simple Twist of Fate,532
12519,Sirens,533
23210,Six Degrees of Separation,534
858,Sleepless in Seattle,535
867,Sliver,536
78,Blade Runner,537
13203,Son in Law,538
10442,So I Married an Axe Murderer,539
11074,Striking Distance,540
33367,Harem,541
9607,Super Mario Bros.,542
17585,Surviving the Game,543
9057,Terminal Velocity,544
20967,Thirty Two Short Films About Glenn Gould,545
10635,Threesome,546
9479,The Nightmare Before Christmas,547
10057,The Three Musketeers,548
11969,Tombstone,549
41590,Trial by Jury,550
319,True Romance,551
26408,The War Room,552
15139,The Pagemaster,553
161158,"Paris, France",554
218473,"The Beans of Egypt, Maine",555
85247,Killer,556
11446,Welcome to the Dollhouse,557
51980,Germinal,558
24405,Chasers,559
11655,Cronos,560
11800,Naked in New York,561
8223,Kika,562
14587,Bhaji on the Beach,563
